Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
193,981626,3051,12863,2460,3146,0.011269472986410341
194,981444,3046,13011,2499,3146,-0.0016388069485414618
195,981219,3079,13180,2522,3179,0.010833880499015102
196,980988,3118,13340,2554,3218,0.012666450146151347
197,980765,3141,13508,2586,3241,0.0073765234124438745
198,980553,3148,13672,2627,3248,0.002228589621139764
199,980336,3168,13844,2652,3268,0.0063532401524777635
200,980123,3190,13999,2688,3290,0.006944444444444444
201,979918,3196,14166,2720,3296,0.0018808777429467085
202,979720,3218,14313,2749,3318,0.00688360450563204
203,979513,3229,14478,2780,3329,0.003418272218769422
204,979297,3246,14641,2816,3346,0.0052647878600185815
205,979071,3299,14780,2850,3399,0.016327788046826865
206,978872,3285,14958,2885,3399,-0.004243710215216732
207,978647,3315,15117,2921,3429,0.0091324200913242
208,978435,3334,15273,2958,3448,0.005731523378582202
209,978206,3359,15438,2997,3473,0.007498500299940012
210,978010,3357,15608,3025,3473,-0.0005954153021732659
211,977792,3372,15777,3059,3488,0.004468275245755138
212,977591,3365,15951,3093,3488,-0.0020759193357058124
213,977383,3380,16111,3126,3503,0.004457652303120356
214,977157,3403,16286,3154,3526,0.006804733727810651
215,976929,3424,16449,3198,3547,0.006171025565677344
216,976699,3442,16621,3238,3565,0.005257009345794392
217,976472,3471,16793,3264,3594,0.0084253341080767
218,976237,3503,16966,3294,3626,0.009219245174301354
219,976007,3554,17105,3334,3677,0.014558949471881244
220,975774,3547,17296,3383,3677,-0.0019696117051209903
221,975562,3537,17478,3423,3677,-0.00281928390188892
222,975351,3534,17659,3456,3677,-0.0008481764206955047
223,975103,3576,17832,3489,3719,0.011884550084889643
224,974852,3633,17994,3521,3776,0.015939597315436243
225,974606,3663,18175,3556,3806,0.008257638315441783
226,974367,3697,18351,3585,3840,0.009282009282009281
227,974114,3732,18533,3621,3875,0.009467135515282662
228,973889,3728,18731,3652,3875,-0.0010718113612004287
229,973654,3723,18939,3684,3875,-0.0013412017167381974
230,973409,3773,19102,3716,3925,0.013430029546065002
231,973154,3784,19310,3752,3936,0.0029154518950437317
232,972928,3751,19530,3791,3936,-0.00872093023255814
233,972689,3777,19709,3825,3962,0.00693148493735004
234,972465,3756,19915,3864,3962,-0.005559968228752979
235,972237,3765,20102,3896,3971,0.0023961661341853034
236,971981,3760,20309,3950,3971,-0.0013280212483399733
237,971734,3801,20478,3987,4012,0.010904255319148936
238,971502,3799,20665,4034,4012,-0.0005261773217574323
239,971264,3788,20885,4063,4012,-0.002895498815477757
240,970994,3824,21081,4101,4048,0.009503695881731784
241,970726,3856,21268,4150,4080,0.008368200836820083
242,970432,3897,21486,4185,4121,0.010632780082987552
243,970145,3945,21696,4214,4169,0.012317167051578136
244,969886,3964,21893,4257,4188,0.004816223067173638
245,969603,4010,22090,4297,4234,0.01160443995963673
246,969326,4054,22294,4326,4278,0.010972568578553617
