Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
338,933529,5819,47803,8849,6325,0.0008599931200550396
339,933131,5874,48100,8895,6380,0.00945179584120983
340,932712,5961,48371,8956,6467,0.01481103166496425
341,932308,6025,48660,9007,6531,0.01073645361516524
342,931880,6090,48975,9055,6596,0.010788381742738589
343,931491,6078,49313,9118,6596,-0.0019704433497536944
344,931109,6103,49620,9168,6621,0.004113195129976966
345,930742,6106,49927,9225,6624,0.0004915615271178109
346,930366,6109,50224,9301,6627,0.000491320013101867
347,930003,6120,50520,9358,6638,0.0018006220330659681
348,929625,6151,50804,9420,6669,0.005065359477124183
349,929229,6173,51107,9491,6691,0.003576654202568688
350,928861,6148,51448,9543,6691,-0.004049894702737729
351,928477,6187,51747,9589,6730,0.006343526350032531
352,928126,6179,52059,9636,6730,-0.0012930337805075157
353,927753,6175,52388,9684,6730,-0.0006473539407671144
354,927377,6183,52703,9739,6738,0.0012955465587044534
355,927006,6243,52951,9800,6798,0.009704027171276079
356,926589,6286,53267,9858,6841,0.006887714239948743
357,926173,6365,53557,9905,6920,0.01256761056315622
358,925802,6375,53860,9964,6930,0.0015710919088766694
359,925410,6383,54184,10023,6938,0.0012549019607843138
360,925002,6433,54494,10071,6988,0.007833307222309259
361,924614,6429,54814,10144,6988,-0.000621793875330328
362,924227,6421,55140,10213,6988,-0.001244361487011977
363,923842,6416,55463,10279,6988,-0.000778694907335306
364,923471,6377,55823,10330,6988,-0.006078553615960099
